epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.8648,1.61666,1.89372,1.29004,0.98822,0.50587,0.8788,0.71442,0.73557,2.60129,0.92872,0.000469982,0.000469982,0.000469982
2,64.1286,1.56841,1.45045,1.25879,0.96047,0.94692,0.97824,0.7863,0.81454,1.37837,0.95239,0.000922894,0.000922894,0.000922894
3,96.3052,1.51686,1.3778,1.24111,0.95685,0.9424,0.97637,0.7473,0.8666,1.11472,0.94413,0.00135223,0.00135223,0.00135223
4,128.347,1.49416,1.28056,1.22399,0.95603,0.9077,0.96564,0.81189,0.76532,0.99259,0.94148,0.0013229,0.0013229,0.0013229
5,159.858,1.47248,1.22581,1.22682,0.96618,0.94693,0.97723,0.83081,0.73038,1.06237,0.93266,0.00128753,0.00128753,0.00128753
6,191.193,1.42677,1.16066,1.21038,0.97751,0.96782,0.9858,0.85485,0.7048,0.76194,0.93607,0.00125216,0.00125216,0.00125216
7,222.372,1.39573,1.1371,1.20363,0.98279,0.96659,0.9825,0.80768,0.79283,0.81605,0.95495,0.00121679,0.00121679,0.00121679
8,253.512,1.38288,1.11427,1.20449,0.97553,0.97836,0.98522,0.841,0.69761,0.69499,0.94111,0.00118143,0.00118143,0.00118143
9,284.722,1.36563,1.08854,1.19621,0.97886,0.9725,0.98616,0.85188,0.68578,0.6604,0.92227,0.00114606,0.00114606,0.00114606
10,316.015,1.37856,1.07972,1.20134,0.98186,0.97661,0.98778,0.84372,0.71074,0.68941,0.94287,0.00111069,0.00111069,0.00111069
11,347.449,1.34715,1.06743,1.18647,0.95875,0.97438,0.98441,0.86751,0.63871,0.64412,0.91684,0.00107532,0.00107532,0.00107532
12,379.151,1.33573,1.07357,1.17686,0.95534,0.98049,0.9864,0.84909,0.70212,0.67096,0.93047,0.00103995,0.00103995,0.00103995
13,410.915,1.32594,1.05867,1.17663,0.97271,0.97671,0.98812,0.84354,0.72363,0.64841,0.92927,0.00100459,0.00100459,0.00100459
14,442.371,1.32839,1.08496,1.18447,0.97485,0.97815,0.98758,0.85647,0.65767,0.62834,0.91888,0.000969219,0.000969219,0.000969219
15,473.931,1.30888,1.06223,1.16857,0.97004,0.98625,0.98906,0.88168,0.6522,0.64968,0.91523,0.000933851,0.000933851,0.000933851
16,505.42,1.3114,1.03838,1.16924,0.98236,0.97832,0.98814,0.85557,0.66434,0.62234,0.91415,0.000898484,0.000898484,0.000898484
17,536.734,1.30668,1.04933,1.18093,0.98875,0.94862,0.9875,0.87363,0.6606,0.64256,0.92313,0.000863116,0.000863116,0.000863116
18,568.046,1.29561,1.05617,1.17743,0.96872,0.97592,0.98624,0.88219,0.65195,0.64243,0.92172,0.000827748,0.000827748,0.000827748
19,599.343,1.28573,1.01698,1.16429,0.98626,0.96793,0.98943,0.88644,0.57333,0.58981,0.90327,0.00079238,0.00079238,0.00079238
