epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.3347,1.62192,1.92306,1.33748,0.95556,0.01095,0.10188,0.06371,1.35208,4.06423,1.55654,0.000469982,0.000469982,0.000469982
2,62.2021,1.56913,1.44792,1.29697,0.61141,0.65023,0.70903,0.51763,1.03666,1.91725,1.00218,0.000915087,0.000915087,0.000915087
3,93.0155,1.53939,1.35731,1.26725,0.85395,0.87858,0.93821,0.70227,0.96275,1.4567,0.99759,0.00132875,0.00132875,0.00132875
4,123.914,1.50249,1.22252,1.23803,0.92642,0.91817,0.96108,0.74534,0.92398,1.16491,0.95935,0.00128753,0.00128753,0.00128753
5,154.827,1.46925,1.17092,1.22827,0.93482,0.86091,0.94344,0.71739,0.97485,1.05913,0.97957,0.00124037,0.00124037,0.00124037
6,185.62,1.43687,1.09553,1.2195,0.92318,0.84853,0.96882,0.76522,0.93739,0.81899,0.97126,0.00119322,0.00119322,0.00119322
7,216.518,1.39986,1.04983,1.20561,0.93348,0.90001,0.96299,0.742,0.9686,0.80692,0.98353,0.00114606,0.00114606,0.00114606
8,247.352,1.4028,1.04148,1.20841,0.91479,0.86883,0.96717,0.73845,1.04907,0.76402,0.98042,0.0010989,0.0010989,0.0010989
9,278.126,1.36969,1.00786,1.1902,0.93254,0.91285,0.97538,0.72594,1.03448,0.72693,0.97647,0.00105174,0.00105174,0.00105174
10,308.899,1.38067,0.99314,1.19548,0.91145,0.90631,0.97087,0.70684,1.11721,0.75111,1.01545,0.00100459,0.00100459,0.00100459
11,339.675,1.36447,0.98924,1.19178,0.9206,0.8643,0.95916,0.72669,1.0633,0.80257,1.00666,0.00095743,0.00095743,0.00095743
12,370.451,1.35972,0.98237,1.18003,0.91879,0.88373,0.9522,0.71244,1.04802,0.79136,0.98974,0.000910273,0.000910273,0.000910273
13,401.274,1.33603,0.98169,1.17894,0.92061,0.92699,0.96421,0.73458,0.96373,0.72053,0.96313,0.000863116,0.000863116,0.000863116
14,432.087,1.33731,0.95683,1.16793,0.93703,0.90387,0.9745,0.78391,0.89547,0.7339,0.9598,0.000815959,0.000815959,0.000815959
15,462.903,1.33275,0.97716,1.17868,0.9262,0.85335,0.95236,0.75501,0.95802,0.78627,0.97576,0.000768802,0.000768802,0.000768802
16,493.773,1.30673,0.93866,1.15509,0.92988,0.88733,0.97016,0.76802,0.96727,0.67745,0.95914,0.000721645,0.000721645,0.000721645
17,524.534,1.31114,0.94538,1.17183,0.94963,0.88783,0.97554,0.77468,0.88785,0.6942,0.96107,0.000674488,0.000674488,0.000674488
18,555.329,1.30746,0.95442,1.16363,0.93926,0.88772,0.97311,0.77342,0.94486,0.66489,0.95985,0.000627331,0.000627331,0.000627331
19,586.128,1.27783,0.95044,1.15639,0.94083,0.89028,0.97825,0.76957,0.94173,0.70978,0.97246,0.000580174,0.000580174,0.000580174
20,616.935,1.29002,0.93523,1.16073,0.94372,0.91091,0.97494,0.8038,0.84723,0.65769,0.9384,0.000533017,0.000533017,0.000533017
21,648.484,1.23618,0.87614,1.09973,0.9605,0.88658,0.97565,0.79992,0.86917,0.72505,0.95598,0.00048586,0.00048586,0.00048586
22,679.172,1.22491,0.87701,1.09108,0.94407,0.83918,0.96696,0.77001,0.94584,0.7453,0.9747,0.000438703,0.000438703,0.000438703
23,709.879,1.21297,0.86866,1.08853,0.9486,0.88027,0.97203,0.77429,0.92512,0.71369,0.96439,0.000391546,0.000391546,0.000391546
24,740.57,1.20017,0.85645,1.08675,0.96412,0.82762,0.96312,0.80207,0.83731,0.73383,0.95324,0.000344389,0.000344389,0.000344389
25,771.232,1.20018,0.8575,1.08608,0.95543,0.91744,0.97395,0.778,0.93394,0.73149,0.97335,0.000297232,0.000297232,0.000297232
26,801.906,1.19003,0.85437,1.08067,0.93642,0.87008,0.96743,0.79555,0.8882,0.72654,0.96012,0.000250075,0.000250075,0.000250075
27,832.575,1.17612,0.87234,1.07721,0.96178,0.87031,0.97072,0.79362,0.86845,0.72686,0.95387,0.000202918,0.000202918,0.000202918
28,863.265,1.17942,0.85076,1.0742,0.96207,0.8702,0.96958,0.8012,0.85323,0.69045,0.94492,0.000155761,0.000155761,0.000155761
29,893.975,1.16865,0.85134,1.06863,0.9441,0.87074,0.96874,0.80134,0.84059,0.70359,0.943,0.000108604,0.000108604,0.000108604
30,924.665,1.17086,0.8555,1.06839,0.94089,0.84098,0.9664,0.80571,0.8517,0.69358,0.94333,6.1447e-05,6.1447e-05,6.1447e-05
