epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.0401,1.61894,1.91931,1.33403,0.92034,0.53867,0.84361,0.61995,1.00196,2.55384,0.99087,0.000469982,0.000469982,0.000469982
2,92.2713,1.55957,1.46214,1.29284,0.56634,0.52248,0.5776,0.34733,1.55054,2.36149,1.22023,0.000927579,0.000927579,0.000927579
3,123.334,1.5561,1.34768,1.27587,0.83556,0.90212,0.95515,0.70931,1.02003,1.17905,0.99058,0.00136631,0.00136631,0.00136631
4,154.395,1.49969,1.22557,1.24393,0.85838,0.82559,0.90242,0.6918,0.93161,1.07228,0.97551,0.00134412,0.00134412,0.00134412
5,185.435,1.48835,1.16326,1.23633,0.90455,0.88868,0.95928,0.71475,0.99352,0.99641,0.99691,0.00131582,0.00131582,0.00131582
6,216.434,1.4372,1.09795,1.22925,0.70842,0.66832,0.81196,0.60824,1.00043,1.30692,0.9989,0.00128753,0.00128753,0.00128753
7,247.42,1.41769,1.06125,1.2158,0.89765,0.69903,0.83203,0.62923,1.04558,1.25856,1.01711,0.00125923,0.00125923,0.00125923
8,278.446,1.40709,1.03898,1.21772,0.91334,0.91942,0.96471,0.71895,1.08451,0.89329,1.01613,0.00123094,0.00123094,0.00123094
9,309.402,1.38829,0.98359,1.20832,0.9457,0.90939,0.95565,0.72211,1.01071,0.81154,0.98364,0.00120265,0.00120265,0.00120265
10,340.369,1.3767,1.00341,1.2036,0.96412,0.90648,0.97106,0.7399,1.0216,0.75551,0.99117,0.00117435,0.00117435,0.00117435
11,371.329,1.36946,0.99207,1.20603,0.90926,0.87844,0.96408,0.6825,1.19888,0.77532,1.05596,0.00114606,0.00114606,0.00114606
12,402.224,1.3716,0.97491,1.18869,0.93204,0.90501,0.97219,0.74801,1.0287,0.70103,0.98427,0.00111776,0.00111776,0.00111776
13,433.234,1.35555,0.99075,1.19532,0.92948,0.92425,0.97453,0.77256,0.94283,0.68935,0.96779,0.00108947,0.00108947,0.00108947
14,464.219,1.35057,0.95711,1.18555,0.92469,0.92008,0.97361,0.75067,0.92866,0.72602,0.97632,0.00106118,0.00106118,0.00106118
15,495.137,1.36038,0.97272,1.19347,0.94733,0.81025,0.9164,0.72017,0.99517,0.92974,0.98819,0.00103288,0.00103288,0.00103288
16,526.059,1.33277,0.95235,1.182,0.97293,0.83197,0.94235,0.72773,0.98626,0.79284,0.98269,0.00100459,0.00100459,0.00100459
17,556.981,1.33148,0.95666,1.19657,0.91491,0.92175,0.96606,0.76635,0.93802,0.73044,0.97865,0.000976293,0.000976293,0.000976293
18,587.9,1.31991,0.97329,1.18098,0.96718,0.86103,0.97172,0.76945,0.96103,0.70759,0.97269,0.000947999,0.000947999,0.000947999
19,618.824,1.30004,0.96071,1.17816,0.92598,0.80117,0.91818,0.6949,0.99887,0.87621,0.99793,0.000919704,0.000919704,0.000919704
20,649.749,1.30449,0.9421,1.17488,0.91775,0.78536,0.9042,0.73439,0.89498,0.89042,0.96731,0.00089141,0.00089141,0.00089141
21,680.729,1.2999,0.95145,1.17973,0.93686,0.70701,0.84728,0.6349,1.09383,1.17776,1.01319,0.000863116,0.000863116,0.000863116
22,711.595,1.29765,0.9277,1.17565,0.93476,0.86284,0.96698,0.72859,1.01092,0.74048,1.00661,0.000834822,0.000834822,0.000834822
23,742.514,1.29288,0.95539,1.18053,0.96881,0.84479,0.95751,0.7585,0.94434,0.75561,0.9777,0.000806528,0.000806528,0.000806528
24,773.404,1.29009,0.93269,1.17091,0.93884,0.84932,0.93709,0.74634,0.97188,0.79441,0.97428,0.000778233,0.000778233,0.000778233
25,804.323,1.27712,0.90714,1.16161,0.91448,0.88348,0.96843,0.80483,0.82779,0.6461,0.95535,0.000749939,0.000749939,0.000749939
26,835.286,1.29807,0.92322,1.17441,0.95134,0.85766,0.94533,0.74744,0.95213,0.78898,0.98686,0.000721645,0.000721645,0.000721645
27,866.146,1.27934,0.93282,1.16893,0.93184,0.83289,0.94208,0.77365,0.88767,0.74957,0.97126,0.000693351,0.000693351,0.000693351
28,897.025,1.26165,0.93907,1.16626,0.95283,0.88097,0.97152,0.75833,0.97457,0.68937,0.98378,0.000665057,0.000665057,0.000665057
29,927.965,1.2743,0.94137,1.16697,0.95433,0.88257,0.97401,0.768,0.9078,0.70764,0.96693,0.000636762,0.000636762,0.000636762
30,958.874,1.25247,0.94576,1.16098,0.94244,0.89651,0.96979,0.80086,0.85433,0.68646,0.95425,0.000608468,0.000608468,0.000608468
31,989.797,1.26133,0.92901,1.15646,0.95233,0.86895,0.97271,0.81472,0.80869,0.68419,0.94456,0.000580174,0.000580174,0.000580174
32,1020.7,1.25864,0.91112,1.14913,0.95849,0.86388,0.97242,0.81382,0.79763,0.64842,0.9381,0.00055188,0.00055188,0.00055188
33,1051.56,1.25058,0.92834,1.1447,0.91489,0.85866,0.97106,0.79962,0.79901,0.71391,0.96519,0.000523586,0.000523586,0.000523586
34,1082.43,1.24536,0.95862,1.15021,0.93688,0.86131,0.96929,0.79488,0.84601,0.67313,0.9546,0.000495291,0.000495291,0.000495291
35,1113.28,1.23549,0.9177,1.14945,0.9112,0.82189,0.93598,0.76663,0.85442,0.78568,0.95732,0.000466997,0.000466997,0.000466997
36,1144.19,1.23166,0.92436,1.14542,0.93475,0.86931,0.95715,0.78749,0.83591,0.74691,0.94819,0.000438703,0.000438703,0.000438703
37,1175.1,1.24143,0.92495,1.14971,0.9605,0.87729,0.96167,0.81276,0.76095,0.72335,0.9366,0.000410409,0.000410409,0.000410409
38,1206.03,1.23162,0.92212,1.14572,0.92838,0.84626,0.9558,0.76669,0.91644,0.71435,0.96562,0.000382115,0.000382115,0.000382115
39,1236.92,1.23352,0.92755,1.14119,0.90098,0.82747,0.93088,0.77063,0.82842,0.78203,0.95298,0.00035382,0.00035382,0.00035382
40,1267.8,1.23053,0.93749,1.14477,0.9299,0.83197,0.9462,0.79208,0.80652,0.71898,0.94216,0.000325526,0.000325526,0.000325526
41,1299.63,1.18701,0.83525,1.07696,0.94807,0.89089,0.97338,0.81578,0.78054,0.67349,0.9263,0.000297232,0.000297232,0.000297232
42,1330.43,1.17215,0.85044,1.07406,0.93695,0.88653,0.97145,0.81609,0.78743,0.67332,0.93411,0.000268938,0.000268938,0.000268938
43,1361.25,1.16212,0.84151,1.06949,0.92795,0.89079,0.97005,0.82075,0.79395,0.66192,0.93013,0.000240644,0.000240644,0.000240644
44,1392.08,1.17042,0.83454,1.07438,0.95789,0.8921,0.97444,0.84003,0.72824,0.64733,0.91989,0.000212349,0.000212349,0.000212349
45,1422.97,1.16386,0.83769,1.07387,0.9474,0.87084,0.97212,0.82722,0.76982,0.65211,0.93249,0.000184055,0.000184055,0.000184055
46,1453.7,1.15727,0.83617,1.06618,0.946,0.86651,0.96892,0.83041,0.75884,0.6506,0.93101,0.000155761,0.000155761,0.000155761
47,1484.45,1.16082,0.83629,1.07308,0.94152,0.85302,0.96299,0.83768,0.73669,0.66783,0.92691,0.000127467,0.000127467,0.000127467
48,1515.26,1.15056,0.83984,1.06173,0.92975,0.85438,0.96472,0.83795,0.72755,0.65195,0.92058,9.91726e-05,9.91726e-05,9.91726e-05
49,1546.1,1.151,0.83763,1.06673,0.93986,0.85948,0.96502,0.82939,0.74999,0.64317,0.92511,7.08784e-05,7.08784e-05,7.08784e-05
50,1576.89,1.1514,0.82653,1.06681,0.93545,0.85607,0.96273,0.83448,0.74189,0.64805,0.92496,4.25842e-05,4.25842e-05,4.25842e-05
