epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.5364,1.655,1.89002,1.34709,0.84895,0.68612,0.88077,0.60775,1.15678,2.06286,1.07847,0.000473158,0.000473158,0.000473158
2,68.5324,1.57375,1.44686,1.28157,0.8722,0.886,0.94909,0.69711,1.03586,1.29058,0.99325,0.000918158,0.000918158,0.000918158
3,101.886,1.52501,1.3022,1.26299,0.86625,0.76149,0.90178,0.60936,1.26931,1.36313,1.08429,0.00133172,0.00133172,0.00133172
4,135.265,1.50324,1.18936,1.23769,0.88403,0.93766,0.96634,0.71502,1.0525,0.95946,1.00183,0.00128753,0.00128753,0.00128753
5,168.434,1.4708,1.09128,1.24224,0.92916,0.94014,0.97007,0.76127,0.90215,0.81152,0.94466,0.00124037,0.00124037,0.00124037
6,201.794,1.44556,1.0489,1.21993,0.94872,0.90711,0.9643,0.71036,1.07255,0.83239,1.00504,0.00119322,0.00119322,0.00119322
7,235.861,1.4464,1.01964,1.22269,0.93954,0.91031,0.96882,0.74965,0.92225,0.80984,0.97227,0.00114606,0.00114606,0.00114606
8,269.256,1.40145,1.02529,1.20866,0.95333,0.8622,0.95561,0.71987,1.00302,0.79672,0.99647,0.0010989,0.0010989,0.0010989
9,302.567,1.38029,0.99589,1.20308,0.92871,0.85057,0.9571,0.70473,1.05816,0.7355,0.99752,0.00105174,0.00105174,0.00105174
10,335.774,1.38672,0.96785,1.18916,0.94655,0.86312,0.95333,0.72548,0.96732,0.75422,0.97131,0.00100459,0.00100459,0.00100459
11,368.923,1.35643,0.96032,1.19674,0.96753,0.88913,0.96384,0.74222,0.99811,0.7295,0.98969,0.00095743,0.00095743,0.00095743
12,402.054,1.365,0.99187,1.19049,0.93494,0.91732,0.97459,0.75046,0.93299,0.74303,0.96515,0.000910273,0.000910273,0.000910273
13,435.212,1.3402,0.94874,1.1842,0.9424,0.90764,0.97333,0.76614,0.92215,0.69707,0.96431,0.000863116,0.000863116,0.000863116
14,468.384,1.35334,0.97094,1.19324,0.94306,0.90553,0.96801,0.7583,0.93378,0.74571,0.96675,0.000815959,0.000815959,0.000815959
15,501.547,1.32463,0.95125,1.17775,0.95178,0.90265,0.94885,0.76865,0.86289,0.75202,0.96058,0.000768802,0.000768802,0.000768802
16,534.8,1.31508,0.9423,1.17257,0.9248,0.84645,0.93537,0.74044,0.95697,0.77403,0.97289,0.000721645,0.000721645,0.000721645
17,567.938,1.31376,0.95264,1.17901,0.89089,0.85806,0.96589,0.74355,0.94423,0.74398,0.97428,0.000674488,0.000674488,0.000674488
18,601.043,1.33234,0.97486,1.18497,0.93289,0.80991,0.94406,0.73219,0.97778,0.75478,0.97693,0.000627331,0.000627331,0.000627331
19,634.18,1.29952,0.93567,1.17052,0.93696,0.85477,0.95969,0.76862,0.9193,0.73673,0.96082,0.000580174,0.000580174,0.000580174
20,667.299,1.27917,0.95493,1.1694,0.92777,0.87806,0.93025,0.75802,0.91016,0.80932,0.96904,0.000533017,0.000533017,0.000533017
21,701.021,1.23664,0.86445,1.09719,0.90593,0.91113,0.96227,0.78195,0.91449,0.75527,0.97121,0.00048586,0.00048586,0.00048586
22,734.212,1.23996,0.85048,1.09627,0.93251,0.8125,0.95654,0.78249,0.89459,0.75109,0.97106,0.000438703,0.000438703,0.000438703
23,767.263,1.22316,0.85483,1.09673,0.94829,0.87134,0.95849,0.75564,0.9512,0.74697,0.97905,0.000391546,0.000391546,0.000391546
24,800.382,1.21292,0.85511,1.09347,0.9264,0.86505,0.96079,0.7771,0.92335,0.7393,0.96864,0.000344389,0.000344389,0.000344389
25,833.714,1.20009,0.85052,1.09225,0.93346,0.85117,0.95849,0.79103,0.89461,0.74493,0.97219,0.000297232,0.000297232,0.000297232
26,866.895,1.19637,0.84717,1.0864,0.93922,0.85376,0.96183,0.78093,0.86894,0.72923,0.9664,0.000250075,0.000250075,0.000250075
27,900.069,1.20387,0.83784,1.08591,0.9261,0.80084,0.95141,0.78927,0.8731,0.73563,0.9718,0.000202918,0.000202918,0.000202918
28,933.41,1.18091,0.84441,1.08326,0.95196,0.85672,0.96406,0.79492,0.87118,0.71712,0.96614,0.000155761,0.000155761,0.000155761
29,966.611,1.17804,0.84657,1.07676,0.93161,0.8424,0.96238,0.80913,0.8416,0.71302,0.96235,0.000108604,0.000108604,0.000108604
30,999.848,1.18202,0.84042,1.07861,0.93469,0.82906,0.958,0.8031,0.83127,0.70211,0.95797,6.1447e-05,6.1447e-05,6.1447e-05
